"Ref","OrigFeatureName","Used","CleanFeatureName","Operation","FinalFeatureName"
"V95","tBodyAccJerk-min()-Z",FALSE,NA,NA,NA
"V96","tBodyAccJerk-sma()",FALSE,NA,NA,NA
"V97","tBodyAccJerk-energy()-X",FALSE,NA,NA,NA
"V98","tBodyAccJerk-energy()-Y",FALSE,NA,NA,NA
"V99","tBodyAccJerk-energy()-Z",FALSE,NA,NA,NA
"V100","tBodyAccJerk-iqr()-X",FALSE,NA,NA,NA
"V101","tBodyAccJerk-iqr()-Y",FALSE,NA,NA,NA
"V102","tBodyAccJerk-iqr()-Z",FALSE,NA,NA,NA
"V103","tBodyAccJerk-entropy()-X",FALSE,NA,NA,NA
"V104","tBodyAccJerk-entropy()-Y",FALSE,NA,NA,NA
"V105","tBodyAccJerk-entropy()-Z",FALSE,NA,NA,NA
"V106","tBodyAccJerk-arCoeff()-X,1",FALSE,NA,NA,NA
"V107","tBodyAccJerk-arCoeff()-X,2",FALSE,NA,NA,NA
"V108","tBodyAccJerk-arCoeff()-X,3",FALSE,NA,NA,NA
"V109","tBodyAccJerk-arCoeff()-X,4",FALSE,NA,NA,NA
"V110","tBodyAccJerk-arCoeff()-Y,1",FALSE,NA,NA,NA
"V111","tBodyAccJerk-arCoeff()-Y,2",FALSE,NA,NA,NA
"V112","tBodyAccJerk-arCoeff()-Y,3",FALSE,NA,NA,NA
"V113","tBodyAccJerk-arCoeff()-Y,4",FALSE,NA,NA,NA
"V114","tBodyAccJerk-arCoeff()-Z,1",FALSE,NA,NA,NA
"V115","tBodyAccJerk-arCoeff()-Z,2",FALSE,NA,NA,NA
"V116","tBodyAccJerk-arCoeff()-Z,3",FALSE,NA,NA,NA
"V117","tBodyAccJerk-arCoeff()-Z,4",FALSE,NA,NA,NA
"V118","tBodyAccJerk-correlation()-X,Y",FALSE,NA,NA,NA
"V119","tBodyAccJerk-correlation()-X,Z",FALSE,NA,NA,NA
"V120","tBodyAccJerk-correlation()-Y,Z",FALSE,NA,NA,NA
"V121","tBodyGyro-mean()-X",TRUE,"TimeBodyGyroMeanX","Mean by Subject, Activity","MeanTimeBodyGyroMeanX"
"V122","tBodyGyro-mean()-Y",TRUE,"TimeBodyGyroMeanY","Mean by Subject, Activity","MeanTimeBodyGyroMeanY"
"V123","tBodyGyro-mean()-Z",TRUE,"TimeBodyGyroMeanZ","Mean by Subject, Activity","MeanTimeBodyGyroMeanZ"
"V124","tBodyGyro-std()-X",TRUE,"TimeBodyGyroStdX","Mean by Subject, Activity","MeanTimeBodyGyroStdX"
"V125","tBodyGyro-std()-Y",TRUE,"TimeBodyGyroStdY","Mean by Subject, Activity","MeanTimeBodyGyroStdY"
"V126","tBodyGyro-std()-Z",TRUE,"TimeBodyGyroStdZ","Mean by Subject, Activity","MeanTimeBodyGyroStdZ"
"V127","tBodyGyro-mad()-X",FALSE,NA,NA,NA
"V128","tBodyGyro-mad()-Y",FALSE,NA,NA,NA
"V129","tBodyGyro-mad()-Z",FALSE,NA,NA,NA
"V130","tBodyGyro-max()-X",FALSE,NA,NA,NA
"V131","tBodyGyro-max()-Y",FALSE,NA,NA,NA
"V132","tBodyGyro-max()-Z",FALSE,NA,NA,NA
"V133","tBodyGyro-min()-X",FALSE,NA,NA,NA
"V134","tBodyGyro-min()-Y",FALSE,NA,NA,NA
"V135","tBodyGyro-min()-Z",FALSE,NA,NA,NA
"V136","tBodyGyro-sma()",FALSE,NA,NA,NA
"V137","tBodyGyro-energy()-X",FALSE,NA,NA,NA
"V138","tBodyGyro-energy()-Y",FALSE,NA,NA,NA
"V139","tBodyGyro-energy()-Z",FALSE,NA,NA,NA
"V140","tBodyGyro-iqr()-X",FALSE,NA,NA,NA
"V141","tBodyGyro-iqr()-Y",FALSE,NA,NA,NA
"V142","tBodyGyro-iqr()-Z",FALSE,NA,NA,NA
"V143","tBodyGyro-entropy()-X",FALSE,NA,NA,NA
"V144","tBodyGyro-entropy()-Y",FALSE,NA,NA,NA
"V145","tBodyGyro-entropy()-Z",FALSE,NA,NA,NA
"V146","tBodyGyro-arCoeff()-X,1",FALSE,NA,NA,NA
"V147","tBodyGyro-arCoeff()-X,2",FALSE,NA,NA,NA
"V148","tBodyGyro-arCoeff()-X,3",FALSE,NA,NA,NA
"V149","tBodyGyro-arCoeff()-X,4",FALSE,NA,NA,NA
"V150","tBodyGyro-arCoeff()-Y,1",FALSE,NA,NA,NA
"V151","tBodyGyro-arCoeff()-Y,2",FALSE,NA,NA,NA
"V152","tBodyGyro-arCoeff()-Y,3",FALSE,NA,NA,NA
"V153","tBodyGyro-arCoeff()-Y,4",FALSE,NA,NA,NA
"V154","tBodyGyro-arCoeff()-Z,1",FALSE,NA,NA,NA
"V155","tBodyGyro-arCoeff()-Z,2",FALSE,NA,NA,NA
"V156","tBodyGyro-arCoeff()-Z,3",FALSE,NA,NA,NA
"V157","tBodyGyro-arCoeff()-Z,4",FALSE,NA,NA,NA
"V158","tBodyGyro-correlation()-X,Y",FALSE,NA,NA,NA
"V159","tBodyGyro-correlation()-X,Z",FALSE,NA,NA,NA
"V160","tBodyGyro-correlation()-Y,Z",FALSE,NA,NA,NA
"V161","tBodyGyroJerk-mean()-X",TRUE,"TimeBodyGyroJerkMeanX","Mean by Subject, Activity","MeanTimeBodyGyroJerkMeanX"
"V162","tBodyGyroJerk-mean()-Y",TRUE,"TimeBodyGyroJerkMeanY","Mean by Subject, Activity","MeanTimeBodyGyroJerkMeanY"
"V163","tBodyGyroJerk-mean()-Z",TRUE,"TimeBodyGyroJerkMeanZ","Mean by Subject, Activity","MeanTimeBodyGyroJerkMeanZ"
"V164","tBodyGyroJerk-std()-X",TRUE,"TimeBodyGyroJerkStdX","Mean by Subject, Activity","MeanTimeBodyGyroJerkStdX"
"V165","tBodyGyroJerk-std()-Y",TRUE,"TimeBodyGyroJerkStdY","Mean by Subject, Activity","MeanTimeBodyGyroJerkStdY"
"V166","tBodyGyroJerk-std()-Z",TRUE,"TimeBodyGyroJerkStdZ","Mean by Subject, Activity","MeanTimeBodyGyroJerkStdZ"
"V167","tBodyGyroJerk-mad()-X",FALSE,NA,NA,NA
"V168","tBodyGyroJerk-mad()-Y",FALSE,NA,NA,NA
"V169","tBodyGyroJerk-mad()-Z",FALSE,NA,NA,NA
"V170","tBodyGyroJerk-max()-X",FALSE,NA,NA,NA
"V171","tBodyGyroJerk-max()-Y",FALSE,NA,NA,NA
"V172","tBodyGyroJerk-max()-Z",FALSE,NA,NA,NA
"V173","tBodyGyroJerk-min()-X",FALSE,NA,NA,NA
"V174","tBodyGyroJerk-min()-Y",FALSE,NA,NA,NA
"V175","tBodyGyroJerk-min()-Z",FALSE,NA,NA,NA
"V176","tBodyGyroJerk-sma()",FALSE,NA,NA,NA
"V177","tBodyGyroJerk-energy()-X",FALSE,NA,NA,NA
"V178","tBodyGyroJerk-energy()-Y",FALSE,NA,NA,NA
"V179","tBodyGyroJerk-energy()-Z",FALSE,NA,NA,NA
"V180","tBodyGyroJerk-iqr()-X",FALSE,NA,NA,NA
"V181","tBodyGyroJerk-iqr()-Y",FALSE,NA,NA,NA
"V182","tBodyGyroJerk-iqr()-Z",FALSE,NA,NA,NA
"V183","tBodyGyroJerk-entropy()-X",FALSE,NA,NA,NA
"V184","tBodyGyroJerk-entropy()-Y",FALSE,NA,NA,NA
"V185","tBodyGyroJerk-entropy()-Z",FALSE,NA,NA,NA
"V186","tBodyGyroJerk-arCoeff()-X,1",FALSE,NA,NA,NA
"V187","tBodyGyroJerk-arCoeff()-X,2",FALSE,NA,NA,NA
"V188","tBodyGyroJerk-arCoeff()-X,3",FALSE,NA,NA,NA
"V189","tBodyGyroJerk-arCoeff()-X,4",FALSE,NA,NA,NA
"V190","tBodyGyroJerk-arCoeff()-Y,1",FALSE,NA,NA,NA
"V191","tBodyGyroJerk-arCoeff()-Y,2",FALSE,NA,NA,NA
"V192","tBodyGyroJerk-arCoeff()-Y,3",FALSE,NA,NA,NA
"V193","tBodyGyroJerk-arCoeff()-Y,4",FALSE,NA,NA,NA
"V194","tBodyGyroJerk-arCoeff()-Z,1",FALSE,NA,NA,NA
"V195","tBodyGyroJerk-arCoeff()-Z,2",FALSE,NA,NA,NA
"V196","tBodyGyroJerk-arCoeff()-Z,3",FALSE,NA,NA,NA
"V197","tBodyGyroJerk-arCoeff()-Z,4",FALSE,NA,NA,NA
"V198","tBodyGyroJerk-correlation()-X,Y",FALSE,NA,NA,NA
"V199","tBodyGyroJerk-correlation()-X,Z",FALSE,NA,NA,NA
"V200","tBodyGyroJerk-correlation()-Y,Z",FALSE,NA,NA,NA
"V201","tBodyAccMag-mean()",TRUE,"TimeBodyAccMagMean","Mean by Subject, Activity","MeanTimeBodyAccMagMean"
"V202","tBodyAccMag-std()",TRUE,"TimeBodyAccMagStd","Mean by Subject, Activity","MeanTimeBodyAccMagStd"
"V203","tBodyAccMag-mad()",FALSE,NA,NA,NA
"V204","tBodyAccMag-max()",FALSE,NA,NA,NA
"V205","tBodyAccMag-min()",FALSE,NA,NA,NA
"V206","tBodyAccMag-sma()",FALSE,NA,NA,NA
"V207","tBodyAccMag-energy()",FALSE,NA,NA,NA
"V208","tBodyAccMag-iqr()",FALSE,NA,NA,NA
"V209","tBodyAccMag-entropy()",FALSE,NA,NA,NA
"V210","tBodyAccMag-arCoeff()1",FALSE,NA,NA,NA
"V211","tBodyAccMag-arCoeff()2",FALSE,NA,NA,NA
"V212","tBodyAccMag-arCoeff()3",FALSE,NA,NA,NA
"V213","tBodyAccMag-arCoeff()4",FALSE,NA,NA,NA
"V214","tGravityAccMag-mean()",TRUE,"TimeGravityAccMagMean","Mean by Subject, Activity","MeanTimeGravityAccMagMean"
"V215","tGravityAccMag-std()",TRUE,"TimeGravityAccMagStd","Mean by Subject, Activity","MeanTimeGravityAccMagStd"
"V216","tGravityAccMag-mad()",FALSE,NA,NA,NA
"V217","tGravityAccMag-max()",FALSE,NA,NA,NA
"V218","tGravityAccMag-min()",FALSE,NA,NA,NA
"V219","tGravityAccMag-sma()",FALSE,NA,NA,NA
"V220","tGravityAccMag-energy()",FALSE,NA,NA,NA
"V221","tGravityAccMag-iqr()",FALSE,NA,NA,NA
"V222","tGravityAccMag-entropy()",FALSE,NA,NA,NA
"V223","tGravityAccMag-arCoeff()1",FALSE,NA,NA,NA
"V224","tGravityAccMag-arCoeff()2",FALSE,NA,NA,NA
"V225","tGravityAccMag-arCoeff()3",FALSE,NA,NA,NA
"V226","tGravityAccMag-arCoeff()4",FALSE,NA,NA,NA
"V227","tBodyAccJerkMag-mean()",TRUE,"TimeBodyAccJerkMagMean","Mean by Subject, Activity","MeanTimeBodyAccJerkMagMean"
"V228","tBodyAccJerkMag-std()",TRUE,"TimeBodyAccJerkMagStd","Mean by Subject, Activity","MeanTimeBodyAccJerkMagStd"
"V229","tBodyAccJerkMag-mad()",FALSE,NA,NA,NA
"V230","tBodyAccJerkMag-max()",FALSE,NA,NA,NA
"V231","tBodyAccJerkMag-min()",FALSE,NA,NA,NA
"V232","tBodyAccJerkMag-sma()",FALSE,NA,NA,NA
"V233","tBodyAccJerkMag-energy()",FALSE,NA,NA,NA
"V234","tBodyAccJerkMag-iqr()",FALSE,NA,NA,NA
"V235","tBodyAccJerkMag-entropy()",FALSE,NA,NA,NA
"V236","tBodyAccJerkMag-arCoeff()1",FALSE,NA,NA,NA
"V237","tBodyAccJerkMag-arCoeff()2",FALSE,NA,NA,NA
"V238","tBodyAccJerkMag-arCoeff()3",FALSE,NA,NA,NA
"V239","tBodyAccJerkMag-arCoeff()4",FALSE,NA,NA,NA
"V240","tBodyGyroMag-mean()",TRUE,"TimeBodyGyroMagMean","Mean by Subject, Activity","MeanTimeBodyGyroMagMean"
"V241","tBodyGyroMag-std()",TRUE,"TimeBodyGyroMagStd","Mean by Subject, Activity","MeanTimeBodyGyroMagStd"
"V242","tBodyGyroMag-mad()",FALSE,NA,NA,NA
"V243","tBodyGyroMag-max()",FALSE,NA,NA,NA
"V244","tBodyGyroMag-min()",FALSE,NA,NA,NA
"V245","tBodyGyroMag-sma()",FALSE,NA,NA,NA
"V246","tBodyGyroMag-energy()",FALSE,NA,NA,NA
"V247","tBodyGyroMag-iqr()",FALSE,NA,NA,NA
"V248","tBodyGyroMag-entropy()",FALSE,NA,NA,NA
"V249","tBodyGyroMag-arCoeff()1",FALSE,NA,NA,NA
"V250","tBodyGyroMag-arCoeff()2",FALSE,NA,NA,NA
"V251","tBodyGyroMag-arCoeff()3",FALSE,NA,NA,NA
"V252","tBodyGyroMag-arCoeff()4",FALSE,NA,NA,NA
"V253","tBodyGyroJerkMag-mean()",TRUE,"TimeBodyGyroJerkMagMean","Mean by Subject, Activity","MeanTimeBodyGyroJerkMagMean"
"V254","tBodyGyroJerkMag-std()",TRUE,"TimeBodyGyroJerkMagStd","Mean by Subject, Activity","MeanTimeBodyGyroJerkMagStd"
"V255","tBodyGyroJerkMag-mad()",FALSE,NA,NA,NA
"V256","tBodyGyroJerkMag-max()",FALSE,NA,NA,NA
"V257","tBodyGyroJerkMag-min()",FALSE,NA,NA,NA
"V258","tBodyGyroJerkMag-sma()",FALSE,NA,NA,NA
"V259","tBodyGyroJerkMag-energy()",FALSE,NA,NA,NA
"V260","tBodyGyroJerkMag-iqr()",FALSE,NA,NA,NA
"V261","tBodyGyroJerkMag-entropy()",FALSE,NA,NA,NA
"V262","tBodyGyroJerkMag-arCoeff()1",FALSE,NA,NA,NA
"V263","tBodyGyroJerkMag-arCoeff()2",FALSE,NA,NA,NA
"V264","tBodyGyroJerkMag-arCoeff()3",FALSE,NA,NA,NA
"V265","tBodyGyroJerkMag-arCoeff()4",FALSE,NA,NA,NA
"V266","fBodyAcc-mean()-X",TRUE,"FreqBodyAccMeanX","Mean by Subject, Activity","MeanFreqBodyAccMeanX"
"V267","fBodyAcc-mean()-Y",TRUE,"FreqBodyAccMeanY","Mean by Subject, Activity","MeanFreqBodyAccMeanY"
"V268","fBodyAcc-mean()-Z",TRUE,"FreqBodyAccMeanZ","Mean by Subject, Activity","MeanFreqBodyAccMeanZ"
"V269","fBodyAcc-std()-X",TRUE,"FreqBodyAccStdX","Mean by Subject, Activity","MeanFreqBodyAccStdX"
"V270","fBodyAcc-std()-Y",TRUE,"FreqBodyAccStdY","Mean by Subject, Activity","MeanFreqBodyAccStdY"
"V271","fBodyAcc-std()-Z",TRUE,"FreqBodyAccStdZ","Mean by Subject, Activity","MeanFreqBodyAccStdZ"
"V272","fBodyAcc-mad()-X",FALSE,NA,NA,NA
"V273","fBodyAcc-mad()-Y",FALSE,NA,NA,NA
"V274","fBodyAcc-mad()-Z",FALSE,NA,NA,NA
"V275","fBodyAcc-max()-X",FALSE,NA,NA,NA
"V276","fBodyAcc-max()-Y",FALSE,NA,NA,NA
"V277","fBodyAcc-max()-Z",FALSE,NA,NA,NA
"V278","fBodyAcc-min()-X",FALSE,NA,NA,NA
"V279","fBodyAcc-min()-Y",FALSE,NA,NA,NA
"V280","fBodyAcc-min()-Z",FALSE,NA,NA,NA
"V281","fBodyAcc-sma()",FALSE,NA,NA,NA
"V282","fBodyAcc-energy()-X",FALSE,NA,NA,NA
"V283","fBodyAcc-energy()-Y",FALSE,NA,NA,NA
"V284","fBodyAcc-energy()-Z",FALSE,NA,NA,NA
"V285","fBodyAcc-iqr()-X",FALSE,NA,NA,NA
"V286","fBodyAcc-iqr()-Y",FALSE,NA,NA,NA
"V287","fBodyAcc-iqr()-Z",FALSE,NA,NA,NA
"V288","fBodyAcc-entropy()-X",FALSE,NA,NA,NA
"V289","fBodyAcc-entropy()-Y",FALSE,NA,NA,NA
"V290","fBodyAcc-entropy()-Z",FALSE,NA,NA,NA
"V291","fBodyAcc-maxInds-X",FALSE,NA,NA,NA
"V292","fBodyAcc-maxInds-Y",FALSE,NA,NA,NA
"V293","fBodyAcc-maxInds-Z",FALSE,NA,NA,NA
"V294","fBodyAcc-meanFreq()-X",FALSE,NA,NA,NA
"V295","fBodyAcc-meanFreq()-Y",FALSE,NA,NA,NA
"V296","fBodyAcc-meanFreq()-Z",FALSE,NA,NA,NA
"V297","fBodyAcc-skewness()-X",FALSE,NA,NA,NA
"V298","fBodyAcc-kurtosis()-X",FALSE,NA,NA,NA
"V299","fBodyAcc-skewness()-Y",FALSE,NA,NA,NA
"V300","fBodyAcc-kurtosis()-Y",FALSE,NA,NA,NA
"V301","fBodyAcc-skewness()-Z",FALSE,NA,NA,NA
"V302","fBodyAcc-kurtosis()-Z",FALSE,NA,NA,NA
"V303","fBodyAcc-bandsEnergy()-1,8",FALSE,NA,NA,NA
"V304","fBodyAcc-bandsEnergy()-9,16",FALSE,NA,NA,NA
"V305","fBodyAcc-bandsEnergy()-17,24",FALSE,NA,NA,NA
"V306","fBodyAcc-bandsEnergy()-25,32",FALSE,NA,NA,NA
"V307","fBodyAcc-bandsEnergy()-33,40",FALSE,NA,NA,NA
"V308","fBodyAcc-bandsEnergy()-41,48",FALSE,NA,NA,NA
"V309","fBodyAcc-bandsEnergy()-49,56",FALSE,NA,NA,NA
"V310","fBodyAcc-bandsEnergy()-57,64",FALSE,NA,NA,NA
"V311","fBodyAcc-bandsEnergy()-1,16",FALSE,NA,NA,NA
"V312","fBodyAcc-bandsEnergy()-17,32",FALSE,NA,NA,NA
"V313","fBodyAcc-bandsEnergy()-33,48",FALSE,NA,NA,NA
"V314","fBodyAcc-bandsEnergy()-49,64",FALSE,NA,NA,NA
"V315","fBodyAcc-bandsEnergy()-1,24",FALSE,NA,NA,NA
"V316","fBodyAcc-bandsEnergy()-25,48",FALSE,NA,NA,NA
"V317","fBodyAcc-bandsEnergy()-1,8",FALSE,NA,NA,NA
"V318","fBodyAcc-bandsEnergy()-9,16",FALSE,NA,NA,NA
"V319","fBodyAcc-bandsEnergy()-17,24",FALSE,NA,NA,NA
"V320","fBodyAcc-bandsEnergy()-25,32",FALSE,NA,NA,NA
"V321","fBodyAcc-bandsEnergy()-33,40",FALSE,NA,NA,NA
"V322","fBodyAcc-bandsEnergy()-41,48",FALSE,NA,NA,NA
"V323","fBodyAcc-bandsEnergy()-49,56",FALSE,NA,NA,NA
"V324","fBodyAcc-bandsEnergy()-57,64",FALSE,NA,NA,NA
"V325","fBodyAcc-bandsEnergy()-1,16",FALSE,NA,NA,NA
"V326","fBodyAcc-bandsEnergy()-17,32",FALSE,NA,NA,NA
"V327","fBodyAcc-bandsEnergy()-33,48",FALSE,NA,NA,NA
"V328","fBodyAcc-bandsEnergy()-49,64",FALSE,NA,NA,NA
"V329","fBodyAcc-bandsEnergy()-1,24",FALSE,NA,NA,NA
"V330","fBodyAcc-bandsEnergy()-25,48",FALSE,NA,NA,NA
"V331","fBodyAcc-bandsEnergy()-1,8",FALSE,NA,NA,NA
"V332","fBodyAcc-bandsEnergy()-9,16",FALSE,NA,NA,NA
"V333","fBodyAcc-bandsEnergy()-17,24",FALSE,NA,NA,NA
"V334","fBodyAcc-bandsEnergy()-25,32",FALSE,NA,NA,NA
"V335","fBodyAcc-bandsEnergy()-33,40",FALSE,NA,NA,NA
"V336","fBodyAcc-bandsEnergy()-41,48",FALSE,NA,NA,NA
"V337","fBodyAcc-bandsEnergy()-49,56",FALSE,NA,NA,NA
"V338","fBodyAcc-bandsEnergy()-57,64",FALSE,NA,NA,NA
"V339","fBodyAcc-bandsEnergy()-1,16",FALSE,NA,NA,NA
"V340","fBodyAcc-bandsEnergy()-17,32",FALSE,NA,NA,NA
"V341","fBodyAcc-bandsEnergy()-33,48",FALSE,NA,NA,NA
"V342","fBodyAcc-bandsEnergy()-49,64",FALSE,NA,NA,NA
"V343","fBodyAcc-bandsEnergy()-1,24",FALSE,NA,NA,NA
"V344","fBodyAcc-bandsEnergy()-25,48",FALSE,NA,NA,NA
"V345","fBodyAccJerk-mean()-X",TRUE,"FreqBodyAccJerkMeanX","Mean by Subject, Activity","MeanFreqBodyAccJerkMeanX"
